country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,export_import_ratio,trade_balance,mortality_income_ratio,fertility_income_ratio,health_life_ratio,aid_need_score,wellbeing_score,PC1,PC2,Cluster
Afghanistan,90.2,10.0,7.58,44.9,1610.0,9.44,56.2,5.82,553,0.22271714922049,-34.9,0.04633250600339897,0.002581407735900969,0.13487544483985764,0.1524212262354966,4.722793791574279,5.334226860372089,1.703612972648371,2
Albania,16.6,28.0,6.55,48.6,9930.0,4.49,76.3,1.65,4090,0.5761316872427983,-20.6,0.0016717019133937565,0.0001661631419939577,0.08584534731323722,0.002758308157099698,30.106325301204816,-0.48357560670120425,0.584981149926994,0
Algeria,27.3,38.4,4.17,31.4,12900.0,16.1,76.5,2.89,4460,1.2229299363057324,7.0,0.002116279069767442,0.000224031007751938,0.05450980392156863,0.0061160465116279076,11.685164835164835,-0.615259254434905,-2.418238599450591,0
Angola,119.0,62.3,2.85,42.9,5900.0,22.4,60.1,6.16,3530,1.4522144522144522,19.4,0.02016949152542373,0.0010440677966101694,0.04742096505823627,0.12424406779661017,1.4393697478991596,2.5683598920161823,-3.9370052153403594,2
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100.0,1.44,76.8,2.13,12200,0.7724957555178269,-13.399999999999999,0.0005392670157068064,0.00011151832460732984,0.078515625,0.0011486387434554975,44.96155339805825,-1.3728641382895428,0.2998435738410738,0
Argentina,14.5,18.9,8.1,16.0,18700.0,20.9,75.8,2.37,10300,1.18125,2.8999999999999986,0.0007754010695187166,0.00012673796791443852,0.10686015831134564,0.0018377005347593584,42.34344827586206,-0.984317569582579,-0.8491219669522112,0
Armenia,18.1,20.8,4.4,45.3,6700.0,7.77,73.3,1.69,3220,0.4591611479028698,-24.499999999999996,0.002701492537313433,0.00025223880597014924,0.060027285129604376,0.004565522388059702,17.81878453038674,0.11878635791192461,-0.17828230717362273,0
Australia,4.8,19.8,8.73,20.9,41400.0,1.16,82.0,1.93,33130,0.9473684210526316,-1.0999999999999979,0.00011594202898550724,4.66183574879227e-05,0.10646341463414635,0.00022376811594202896,149.13750000000002,-3.137377763154022,1.4203727878067338,1
Austria,4.3,51.3,11.0,47.8,43200.0,0.873,80.5,1.44,33130,1.0732217573221758,3.5,9.953703703703703e-05,3.3333333333333335e-05,0.13664596273291926,0.0001433333333333333,158.61803490661038,-3.758277506994891,2.090887067134572,1
Azerbaijan,39.2,54.3,5.88,20.7,16000.0,13.8,69.1,1.92,5840,1.8603472848755864,31.900000000000006,0.0024500000000000004,0.00011999999999999999,0.08509406657018814,0.004704,10.364999999999998,-1.3931217032192762,-2.960676196382253,0
Bahamas,13.8,35.0,7.89,43.7,22900.0,-0.393,73.8,1.86,28000,0.8009153318077803,-8.700000000000003,0.0006026200873362446,8.122270742358079e-05,0.10691056910569105,0.001120873362445415,42.19434782608695,-1.7466484578692134,1.0502725343552497,1
